Race,Gender,Country,EducationType,MajorUndergraduate,DeveloperType,CompetePeers,CompanySize,CompanyType,JobSatisfaction
White or of European descent,Male,United States,On-the-job training; Self-taught,A non-computer-focused engineering discipline,Graphics programming; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,Somewhat agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,10
South Asian,Male,United States,Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer,Agree,5 000 to 9 999 employees,Publicly-traded corporation,8
Hispanic or Latino/Latina,Male,Brazil,Online course; Industry certification; Self-taught,Computer science or software engineering,Web developer,Somewhat agree,10 to 19 employees,Government agency or public school/university,5
White or of European descent,Male,Canada,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Mobile developer,Somewhat agree,10 to 19 employees,Venture-funded startup,7
White or of European descent,Male,Serbia,Online course,Computer science or software engineering,Other,Agree,10 000 or more employees,Publicly-traded corporation,8
White or of European descent,Female,Canada,Self-taught,Computer science or software engineering,Desktop applications developer,Disagree,10 000 or more employees,Publicly-traded corporation,9
Hispanic or Latino/Latina,Male,Costa Rica,Online course,Computer science or software engineering,Web developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,United States,Online course; Part-time/evening course; On-the-job training; Self-taught; Hackathon,Management information systems,Web developer,Agree,10 000 or more employees,Publicly-traded corporation,2
White or of European descent,Male,Canada,On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,A natural science,Developer with a statistics or mathematics background,Disagree,1 000 to 4 999 employees,Publicly-traded corporation,8
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught,Computer science or software engineering,Mobile developer; Embedded applications/devices developer; Desktop applications developer; Systems administrator,Disagree,1 000 to 4 999 employees,Publicly-traded corporation,10
Black or of African descent; White or of European descent,Male,United Kingdom,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,7
South Asian,Male,India,Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Disagree,10 000 or more employees,Publicly-traded corporation,6
White or of European descent,Male,United States,Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Disagree,10 000 or more employees,Publicly-traded corporation,8
White or of European descent,Male; Gender non-conforming,United Kingdom,On-the-job training; Hackathon; Open source contributions,Mathematics or statistics,Developer with a statistics or mathematics background; Other,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,6
I prefer not to say,Male,United States,Online course; On-the-job training; Self-taught; Coding competition,Psychology,Web developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,1
Middle Eastern,Male,Iran,Online course; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,Germany,Online course; Part-time/evening course; On-the-job training; Self-taught; Coding competition; Hackathon,Computer science or software engineering,DevOps specialist; Other,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Female,Spain,On-the-job training; Self-taught,Computer programming or Web development,Web developer; Desktop applications developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,6
I don’t know,Female,India,Industry certification,Computer programming or Web development,Mobile developer,Agree,20 to 99 employees,Pre-series A startup,4
Middle Eastern,Male,Denmark,Online course; Part-time/evening course; Self-taught; Open source contributions,Computer science or software engineering,Mobile developer; Desktop applications developer; DevOps specialist,Strongly agree,10 to 19 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,Finland,Online course; Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,6
White or of European descent,Male,United States,Bootcamp; Self-taught; Coding competition; Hackathon; Open source contributions,Computer engineering or electrical/electronics engineering,Mobile developer,Disagree,10 000 or more employees,Publicly-traded corporation,6
White or of European descent,Male,United States,Online course; Self-taught,A non-computer-focused engineering discipline,Desktop applications developer,Disagree,10 000 or more employees,Publicly-traded corporation,5
I don’t know,Male,Israel,Online course; On-the-job training; Self-taught; Hackathon; Open source contributions,Mathematics or statistics,Web developer; Developer with a statistics or mathematics background; DevOps specialist,Strongly disagree,500 to 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Sweden,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Embedded applications/devices developer; Desktop applications developer,Strongly disagree,20 to 99 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Canada,Online course; On-the-job training; Self-taught,Mathematics or statistics,Web developer,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,4
White or of European descent,Male,Netherlands,Industry certification; Self-taught; Coding competition; Hackathon; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer; Mobile developer; Desktop applications developer; DevOps specialist,Somewhat agree,10 000 or more employees,Government agency or public school/university,6
White or of European descent,Male,United States,Self-taught,A social science,Developer with a statistics or mathematics background,Disagree,10 000 or more employees,Publicly-traded corporation,8
Hispanic or Latino/Latina,Male,Mexico,Online course; On-the-job training; Self-taught; Coding competition,Information technology  networking  or system administration,Web developer,Agree,5 000 to 9 999 employees,I don't know,4
White or of European descent,Male,United States,Industry certification; On-the-job training; Self-taught; Open source contributions,Management information systems,Web developer; Systems administrator; DevOps specialist,Strongly agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,Germany,Online course; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer,Strongly disagree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,On-the-job training; Self-taught,Computer science or software engineering,Web developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,7
White or of European descent,Male,Albania,Self-taught,Computer programming or Web development,Web developer,Agree,Fewer than 10 employees,Non-profit/non-governmental organization or private school/university,10
South Asian,Male,United States,Part-time/evening course; Industry certification; Self-taught,Computer science or software engineering,Web developer; Mobile developer,Strongly disagree,500 to 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,South Africa,Online course; Self-taught; Open source contributions,Information technology  networking  or system administration,Web developer; Mobile developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,On-the-job training; Self-taught; Hackathon; Open source contributions,Computer engineering or electrical/electronics engineering,Mobile developer; DevOps specialist,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Online course; Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Embedded applications/devices developer; Machine learning specialist; Desktop applications developer,Strongly disagree,20 to 99 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,New Zealand,Online course; Part-time/evening course; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,8
Hispanic or Latino/Latina; White or of European descent,Male,Brazil,Online course; On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Web developer,Disagree,10 to 19 employees,Sole proprietorship or partnership  not in startup mode,5
White or of European descent,Male,United Kingdom,Online course; Industry certification; On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Machine learning specialist; Data scientist,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,10 to 19 employees,Venture-funded startup,7
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Strongly disagree,100 to 499 employees,Privately-held limited company  not in startup mode,9
South Asian,Male,India,On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Web developer; Desktop applications developer,Strongly agree,10 000 or more employees,Privately-held limited company  not in startup mode,4
White or of European descent,Male,United Kingdom,Self-taught; Open source contributions,A natural science,Web developer; Data scientist; Desktop applications developer; Systems administrator; DevOps specialist,Disagree,Fewer than 10 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Romania,Online course; Industry certification; Self-taught; Coding competition,Computer engineering or electrical/electronics engineering,Web developer; Mobile developer,Agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,6
White or of European descent,Male,United States,Self-taught; Hackathon; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer; Systems administrator; DevOps specialist,Strongly disagree,20 to 99 employees,Venture-funded startup,6
White or of European descent,Male,United States,Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,9
South Asian,Male,India,On-the-job training; Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer; Developer with a statistics or mathematics background,Somewhat agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,10
South Asian,Male,United States,On-the-job training; Self-taught,A non-computer-focused engineering discipline,Other,Strongly disagree,10 000 or more employees,Publicly-traded corporation,6
Middle Eastern,Male,Israel,On-the-job training; Self-taught; Hackathon; Open source contributions,A humanities discipline,Web developer; DevOps specialist,Disagree,20 to 99 employees,Venture-funded startup,8
White or of European descent,Male,Canada,On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer,Strongly disagree,20 to 99 employees,I don't know,8
White or of European descent,Male,United States,Self-taught,A natural science,Desktop applications developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,3
Native American  Pacific Islander  or Indigenous Australian; White or of European descent,Male,United States,On-the-job training; Self-taught; Hackathon; Open source contributions,Computer programming or Web development,Web developer; Database administrator,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,3
I don’t know,Male,Sweden,Online course; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Desktop applications developer,Disagree,100 to 499 employees,I don't know,7
White or of European descent,Male,Ireland,Online course; On-the-job training; Self-taught,Psychology,Other,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Canada,Online course; Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Mobile developer,Agree,10 to 19 employees,Venture-funded startup,7
White or of European descent,Male,Canada,On-the-job training,Something else,Other,Strongly disagree,10 000 or more employees,Something else,3
White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition,Computer engineering or electrical/electronics engineering,Web developer,Somewhat agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,8
