Race,Gender,Country,EducationType,MajorUndergraduate,DeveloperType,CompetePeers,CompanySize,CompanyType,JobSatisfaction
White or of European descent,Male,United States,Online course; Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Data scientist; Other,Strongly disagree,5 000 to 9 999 employees,Something else,6
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Embedded applications/devices developer,Somewhat agree,1 000 to 4 999 employees,Non-profit/non-governmental organization or private school/university,9
White or of European descent,Male,United States,Bootcamp; On-the-job training; Self-taught; Open source contributions,Something else,Web developer; DevOps specialist,Strongly disagree,1 000 to 4 999 employees,Venture-funded startup,9
Hispanic or Latino/Latina,Male,Colombia,Online course; Industry certification; Self-taught,Computer science or software engineering,Web developer; Mobile developer; Desktop applications developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,7
South Asian,Male,India,Online course; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Mobile developer; Desktop applications developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,9
White or of European descent,Male,United States,On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer; Graphics programming; Desktop applications developer,Strongly disagree,10 000 or more employees,Publicly-traded corporation,0
White or of European descent,Male,United States,Bootcamp; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Graphics programming,Disagree,10 000 or more employees,Publicly-traded corporation,8
Hispanic or Latino/Latina; White or of European descent,Female,United States,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer,Strongly disagree,10 000 or more employees,Publicly-traded corporation,10
South Asian,Male,India,Online course; Self-taught,Computer science or software engineering,Web developer; Embedded applications/devices developer,Somewhat agree,20 to 99 employees,Venture-funded startup,6
Middle Eastern,Male,Germany,Self-taught,A non-computer-focused engineering discipline,Web developer,Strongly agree,20 to 99 employees,Privately-held limited company  not in startup mode,6
South Asian,Male,United States,On-the-job training; Self-taught,A non-computer-focused engineering discipline,Web developer,Agree,10 000 or more employees,Publicly-traded corporation,10
East Asian,Female,Australia,Self-taught,Computer science or software engineering,Web developer,Strongly agree,1 000 to 4 999 employees,I don't know,3
White or of European descent,Female,Canada,Online course; Self-taught; Coding competition; Hackathon,A natural science,Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,Somewhat agree,20 to 99 employees,I don't know,8
White or of European descent,Male,United States,Industry certification; On-the-job training; Self-taught; Coding competition; Open source contributions,A business discipline,Embedded applications/devices developer; Desktop applications developer,Disagree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,0
White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Mathematics or statistics,Embedded applications/devices developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,Strongly disagree,20 to 99 employees,Venture-funded startup,5
White or of European descent,Male,United States,Online course; Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer; Embedded applications/devices developer; Desktop applications developer; DevOps specialist,Strongly agree,10 000 or more employees,Publicly-traded corporation,9
White or of European descent,Male,Canada,On-the-job training; Self-taught,A non-computer-focused engineering discipline,Mobile developer; Embedded applications/devices developer; Desktop applications developer; Systems administrator; Quality assurance engineer,Disagree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,9
South Asian,Male,Indonesia,Online course; On-the-job training; Self-taught,Management information systems,Web developer; Embedded applications/devices developer,Agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,10
White or of European descent,Male,United States,Part-time/evening course; On-the-job training; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer,Disagree,10 000 or more employees,Publicly-traded corporation,7
South Asian,Male,China,On-the-job training; Self-taught,Computer engineering or electrical/electronics engineering,Desktop applications developer,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Australia,Online course; On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Desktop applications developer,Strongly disagree,10 to 19 employees,Privately-held limited company  not in startup mode,5
Hispanic or Latino/Latina; White or of European descent,Male,United States,On-the-job training; Self-taught; Hackathon; Open source contributions,Information technology  networking  or system administration,Web developer; Systems administrator,Strongly disagree,100 to 499 employees,I don't know,6
East Asian,Female,Australia,Self-taught,Computer science or software engineering,Web developer,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,United States,Online course; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Other,Agree,10 000 or more employees,Publicly-traded corporation,7
South Asian,Male,India,Industry certification; Self-taught; Coding competition,Computer programming or Web development,Web developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,6
Hispanic or Latino/Latina,Male,Costa Rica,Online course; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Embedded applications/devices developer,Somewhat agree,100 to 499 employees,Publicly-traded corporation,7
I don’t know,Female,Kazakhstan,Online course,Computer science or software engineering,Web developer,Somewhat agree,20 to 99 employees,Government agency or public school/university,7
White or of European descent,Male,United States,Online course; Bootcamp; On-the-job training; Self-taught; Hackathon,A humanities discipline,Web developer,Agree,1 000 to 4 999 employees,Publicly-traded corporation,6
White or of European descent,Male,Slovenia,Online course; Self-taught; Open source contributions,Computer science or software engineering,Data scientist; Desktop applications developer,Agree,100 to 499 employees,Government agency or public school/university,8
East Asian,Female,Pakistan,Self-taught; Coding competition,Information technology  networking  or system administration,Mobile developer; Desktop applications developer; DevOps specialist,Strongly agree,20 to 99 employees,Privately-held limited company  not in startup mode,5
South Asian,Male,India,Self-taught; Coding competition,Computer science or software engineering,Web developer; DevOps specialist,Somewhat agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,Canada,Online course; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer,Agree,10 000 or more employees,Publicly-traded corporation,6
White or of European descent,Male,Poland,On-the-job training; Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Mobile developer,Strongly disagree,20 to 99 employees,Something else,6
South Asian,Male,Indonesia,Self-taught; Open source contributions,A non-computer-focused engineering discipline,Web developer; Mobile developer; Graphics programming; Desktop applications developer; Database administrator; Systems administrator; Other,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
South Asian,Male,Malaysia,Industry certification; Self-taught,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background,Strongly disagree,20 to 99 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United States,Part-time/evening course; Self-taught,Information technology  networking  or system administration,Web developer; Desktop applications developer; Database administrator; Systems administrator,Agree,500 to 999 employees,Government agency or public school/university,7
White or of European descent,Male; Other,Australia,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Russian Federation,Self-taught; Open source contributions,Information technology  networking  or system administration,Web developer,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Austria,Industry certification; On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer,Agree,500 to 999 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Germany,Self-taught,Computer science or software engineering,Web developer,Disagree,20 to 99 employees,I prefer not to answer,2
Black or of African descent,Male,United States,On-the-job training; Self-taught,Fine arts or performing arts,Graphics programming,Strongly disagree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,9
White or of European descent,Male,Poland,Self-taught; Open source contributions,Computer science or software engineering,Web developer; Data scientist; Database administrator,Disagree,10 000 or more employees,Publicly-traded corporation,7
White or of European descent,Male,France,Self-taught,Information technology  networking  or system administration,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Database administrator; Systems administrator,Somewhat agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Ukraine,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer; DevOps specialist,Somewhat agree,100 to 499 employees,Publicly-traded corporation,9
White or of European descent,Female,Romania,Part-time/evening course; On-the-job training; Self-taught,Mathematics or statistics,Web developer,Agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,7
South Asian,Male,India,Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Switzerland,Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Desktop applications developer; Other,Disagree,1 000 to 4 999 employees,Sole proprietorship or partnership  not in startup mode,8
White or of European descent,Male,Hungary,Online course; Part-time/evening course; Industry certification; On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,5
White or of European descent,Male,United Kingdom,Online course; On-the-job training; Self-taught,Computer programming or Web development,Web developer,Agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United Kingdom,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer; Database administrator; Systems administrator,Strongly disagree,Fewer than 10 employees,Privately-held limited company  not in startup mode,7
Hispanic or Latino/Latina,Male,Spain,Part-time/evening course,Computer science or software engineering,Web developer; Mobile developer,Agree,100 to 499 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,Austria,On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Disagree,Fewer than 10 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Spain,Self-taught,Computer science or software engineering,Web developer; Mobile developer; Systems administrator; DevOps specialist,Strongly disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
Middle Eastern; White or of European descent,Male,Austria,On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Graphics programming; Developer with a statistics or mathematics background; Desktop applications developer; DevOps specialist,Strongly disagree,5 000 to 9 999 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,Germany,Self-taught,A natural science,Web developer,Disagree,100 to 499 employees,I don't know,3
White or of European descent,Male,Poland,Self-taught; Open source contributions,A humanities discipline,Web developer,Strongly disagree,10 to 19 employees,Sole proprietorship or partnership  not in startup mode,5
East Asian,Male,China,Self-taught; Open source contributions,Computer science or software engineering,Web developer,Disagree,10 000 or more employees,Publicly-traded corporation,7
White or of European descent,Male,Latvia,Online course; Part-time/evening course; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Database administrator; Systems administrator; DevOps specialist,Disagree,10 to 19 employees,I don't know,8
South Asian,Male,Germany,Online course; Industry certification; On-the-job training; Self-taught; Coding competition; Open source contributions,A non-computer-focused engineering discipline,Web developer; DevOps specialist,Strongly disagree,20 to 99 employees,Venture-funded startup,8
Hispanic or Latino/Latina; White or of European descent,Male,Spain,Bootcamp; Part-time/evening course; Self-taught; Coding competition; Hackathon,A non-computer-focused engineering discipline,Web developer; Database administrator,Disagree,100 to 499 employees,Sole proprietorship or partnership  not in startup mode,9
South Asian,Male,Japan,Industry certification; Self-taught; Hackathon,Computer science or software engineering,Web developer; Desktop applications developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Hungary,Online course; Part-time/evening course; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,3
White or of European descent,Female,United Kingdom,On-the-job training,Mathematics or statistics,Developer with a statistics or mathematics background; Data scientist; Other,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,7
I don’t know,Male,India,Bootcamp; Self-taught,Computer science or software engineering,Web developer; Systems administrator,Agree,500 to 999 employees,Privately-held limited company  not in startup mode,7
South Asian,Male,Philippines,Online course; Part-time/evening course; Self-taught,Computer engineering or electrical/electronics engineering,Web developer; Desktop applications developer,Disagree,10 000 or more employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Singapore,Online course; On-the-job training; Self-taught,Computer science or software engineering,Mobile developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Russian Federation,Online course; Industry certification; Self-taught; Hackathon; Open source contributions,Mathematics or statistics,Web developer; Database administrator; DevOps specialist; Quality assurance engineer,Strongly agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Romania,Online course; Self-taught,Computer programming or Web development,Web developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Romania,Online course; Self-taught,Computer science or software engineering,Web developer; Mobile developer,Disagree,10 to 19 employees,Pre-series A startup,8
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer,Agree,I don't know,I don't know,6
White or of European descent,Male,Croatia,Online course; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer; Other,Agree,100 to 499 employees,Publicly-traded corporation,4
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught,Computer programming or Web development,Web developer; Developer with a statistics or mathematics background,Agree,100 to 499 employees,I don't know,4
White or of European descent,Female,Russian Federation,On-the-job training; Self-taught,Mathematics or statistics,Web developer,Strongly disagree,500 to 999 employees,I don't know,7
White or of European descent,Male,Austria,Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Desktop applications developer,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Female,Germany,Self-taught,Computer science or software engineering,Web developer,Disagree,Fewer than 10 employees,I don't know,9
White or of European descent,Female,Finland,Part-time/evening course; Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Mobile developer; DevOps specialist; Quality assurance engineer,Disagree,500 to 999 employees,I prefer not to answer,8
South Asian,Male,India,Online course,Computer science or software engineering,Web developer,Disagree,20 to 99 employees,Venture-funded startup,8
South Asian,Male,India,Online course; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer,Agree,10 to 19 employees,I don't know,8
White or of European descent,Male; Other,France,On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,Finland,Industry certification; Self-taught,A non-computer-focused engineering discipline,Web developer; Developer with a statistics or mathematics background,Agree,10 000 or more employees,Publicly-traded corporation,7
White or of European descent,Male,Netherlands,Part-time/evening course; On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Developer with a statistics or mathematics background,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
South Asian,Male,India,Online course; Self-taught; Coding competition,Information technology  networking  or system administration,Web developer; Mobile developer; Desktop applications developer; Other,Disagree,500 to 999 employees,Sole proprietorship or partnership  not in startup mode,3
White or of European descent,Female,Portugal,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer,Somewhat agree,Fewer than 10 employees,I don't know,5
White or of European descent,Female,United Kingdom,On-the-job training; Self-taught,A natural science,Desktop applications developer,Strongly disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
South Asian,Male,India,Self-taught,A non-computer-focused engineering discipline,Web developer,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Austria,Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Embedded applications/devices developer; Desktop applications developer,Agree,20 to 99 employees,Government agency or public school/university,10
White or of European descent,Male,United Kingdom,Online course; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Desktop applications developer,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,Ireland,Online course; On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Web developer,Disagree,I don't know,Publicly-traded corporation,6
Hispanic or Latino/Latina,Male,Spain,Part-time/evening course; On-the-job training,Computer engineering or electrical/electronics engineering,Web developer,Somewhat agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Slovak Republic,Bootcamp; Self-taught,Computer programming or Web development,Web developer,Agree,I prefer not to answer,I prefer not to answer,7
Middle Eastern,Male,Iran,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer; Systems administrator; DevOps specialist,Somewhat agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United Kingdom,Self-taught,Computer programming or Web development,Mobile developer; Graphic designer,Somewhat agree,Fewer than 10 employees,I don't know,7
East Asian,Male,Hong Kong,Part-time/evening course; Industry certification; Self-taught,Computer science or software engineering,Web developer; Mobile developer,Somewhat agree,20 to 99 employees,Pre-series A startup,7
White or of European descent,Male,Armenia,Part-time/evening course; Self-taught; Hackathon; Open source contributions,Computer programming or Web development,Web developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
Middle Eastern,Male,Tunisia,Online course; Self-taught,Information technology  networking  or system administration,Web developer,Somewhat agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Germany,Self-taught,Computer engineering or electrical/electronics engineering,Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,Strongly disagree,100 to 499 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,Spain,Online course; Industry certification; Self-taught; Coding competition; Open source contributions,Computer programming or Web development,Web developer,Disagree,100 to 499 employees,Government agency or public school/university,8
White or of European descent,Male,Croatia,Self-taught,Computer programming or Web development,Web developer; Data scientist; DevOps specialist; Quality assurance engineer,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Brazil,Online course; Part-time/evening course; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Agree,Fewer than 10 employees,Venture-funded startup,5
White or of European descent,Male,Canada,On-the-job training,Computer engineering or electrical/electronics engineering,Desktop applications developer; Other,Somewhat agree,1 000 to 4 999 employees,Publicly-traded corporation,6
South Asian,Female,India,Industry certification; Self-taught; Coding competition,Information technology  networking  or system administration,Mobile developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Serbia,Part-time/evening course; Self-taught,Computer programming or Web development,Web developer; Desktop applications developer; Database administrator,Somewhat agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,2
Black or of African descent,Male,United Kingdom,Industry certification; On-the-job training; Self-taught,I never declared a major,Web developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Switzerland,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Mobile developer,Somewhat agree,100 to 499 employees,Venture-funded startup,7
White or of European descent,Male,Italy,On-the-job training; Self-taught,Computer science or software engineering,Web developer,Strongly disagree,1 000 to 4 999 employees,I don't know,6
Hispanic or Latino/Latina,Male,Dominican Republic,Self-taught,Computer science or software engineering,Web developer,Strongly agree,I don't know,I prefer not to answer,7
White or of European descent,Male,Serbia,Part-time/evening course; Self-taught; Coding competition,Computer science or software engineering,Web developer; Mobile developer,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Denmark,Self-taught,Computer science or software engineering,Web developer,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,France,Online course; On-the-job training; Self-taught,A non-computer-focused engineering discipline,Web developer,Agree,500 to 999 employees,Privately-held limited company  not in startup mode,9
East Asian; South Asian,Male,India,On-the-job training; Self-taught,Computer science or software engineering,Web developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,2
White or of European descent,Male,Sweden,Part-time/evening course; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Machine learning specialist; Data scientist; DevOps specialist,Disagree,Fewer than 10 employees,Pre-series A startup,10
White or of European descent,Female,United Kingdom,Self-taught,Computer science or software engineering,Mobile developer,Strongly disagree,10 to 19 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,United Kingdom,Part-time/evening course; Industry certification; On-the-job training; Self-taught,A natural science,Web developer,Disagree,20 to 99 employees,I don't know,8
Hispanic or Latino/Latina,Other,Netherlands,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Embedded applications/devices developer,Strongly disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,2
White or of European descent,Male,Spain,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer,Strongly agree,1 000 to 4 999 employees,Government agency or public school/university,6
White or of European descent,Male,United Kingdom,Self-taught; Open source contributions,A business discipline,Web developer,Agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,Ireland,Online course; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Database administrator; Systems administrator; DevOps specialist,Strongly disagree,100 to 499 employees,I prefer not to answer,10
White or of European descent,Male,Sweden,Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Strongly disagree,20 to 99 employees,Publicly-traded corporation,8
White or of European descent,Male,Germany,Online course; Self-taught,Computer science or software engineering,Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,Agree,10 to 19 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,United Kingdom,Self-taught,Computer science or software engineering,Embedded applications/devices developer,Strongly disagree,10 000 or more employees,Publicly-traded corporation,9
White or of European descent,Male,Netherlands,On-the-job training; Self-taught; Hackathon,Computer programming or Web development,Web developer,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,3
White or of European descent,Female,Ireland,Industry certification; On-the-job training,A humanities discipline,Web developer,Strongly disagree,100 to 499 employees,I don't know,5
White or of European descent,Male,Romania,Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Somewhat agree,10 to 19 employees,Sole proprietorship or partnership  not in startup mode,9
White or of European descent,Male,Netherlands,On-the-job training; Self-taught; Hackathon; Open source contributions,Information technology  networking  or system administration,Web developer,Somewhat agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,6
White or of European descent,Male,United States,Industry certification; Self-taught; Hackathon,Computer science or software engineering,Other,Disagree,10 000 or more employees,Government agency or public school/university,10
White or of European descent,Female,Germany,On-the-job training; Self-taught; Hackathon,Computer engineering or electrical/electronics engineering,Web developer; Mobile developer,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Romania,Online course; Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer; Systems administrator,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,8
South Asian,Male,India,Self-taught,Computer science or software engineering,Mobile developer,Agree,100 to 499 employees,Something else,6
White or of European descent,Male,Italy,Self-taught; Open source contributions,Computer science or software engineering,Web developer; Systems administrator; DevOps specialist; Quality assurance engineer,Somewhat agree,20 to 99 employees,Venture-funded startup,7
White or of European descent,Male,United States,Online course; Industry certification; On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Web developer; Mobile developer; Database administrator,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Female,United States,Online course; On-the-job training; Self-taught,A non-computer-focused engineering discipline,Web developer; Desktop applications developer; Database administrator; Other,Somewhat agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,France,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Other,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Sweden,Online course; Part-time/evening course; On-the-job training; Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer; Other,Strongly agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Female,Romania,Online course; On-the-job training,Computer science or software engineering,Desktop applications developer; Other,Disagree,10 000 or more employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Online course; Bootcamp; Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer; Systems administrator,Agree,100 to 499 employees,Sole proprietorship or partnership  not in startup mode,8
White or of European descent,Male,Germany,Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer,Agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,6
I prefer not to say,Male,Canada,Self-taught,Computer science or software engineering,Mobile developer; Desktop applications developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,9
East Asian,Male,India,Self-taught,Computer science or software engineering,Web developer; Data scientist; Database administrator,Strongly agree,10 000 or more employees,Publicly-traded corporation,8
White or of European descent,Female,United Kingdom,Online course; Self-taught; Hackathon,Computer science or software engineering,DevOps specialist,Disagree,10 000 or more employees,Publicly-traded corporation,10
White or of European descent,Male,United States,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,I prefer not to answer,Privately-held limited company  not in startup mode,10
White or of European descent,Male,Spain,Online course; On-the-job training,Computer programming or Web development,Web developer,Strongly disagree,100 to 499 employees,Privately-held limited company  not in startup mode,2
White or of European descent,Male,United States,Online course; On-the-job training; Self-taught,Fine arts or performing arts,Web developer; Embedded applications/devices developer; Desktop applications developer,Disagree,100 to 499 employees,Publicly-traded corporation,7
South Asian,Male,Romania,Self-taught,Computer science or software engineering,Desktop applications developer,Somewhat agree,100 to 499 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,Italy,Online course; On-the-job training,Computer science or software engineering,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United Kingdom,Self-taught; Coding competition; Open source contributions,Mathematics or statistics,Web developer; Systems administrator; DevOps specialist,Disagree,100 to 499 employees,I don't know,10
White or of European descent,Male,United Kingdom,Self-taught,Computer programming or Web development,Web developer; Graphic designer; Desktop applications developer; Systems administrator; DevOps specialist,Strongly disagree,100 to 499 employees,Privately-held limited company  not in startup mode,8
Black or of African descent,Male,United Arab Emirates,On-the-job training; Self-taught,Computer science or software engineering,Web developer,Strongly agree,20 to 99 employees,Privately-held limited company  not in startup mode,4
White or of European descent,Female,United Kingdom,Bootcamp; On-the-job training; Self-taught,Psychology,Web developer,Disagree,10 to 19 employees,Venture-funded startup,6
White or of European descent,Male,Netherlands,Part-time/evening course; Self-taught; Hackathon,Computer science or software engineering,Web developer; Desktop applications developer,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,3
White or of European descent,Male,Russian Federation,Online course; Self-taught; Coding competition; Open source contributions,Computer programming or Web development,Web developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Israel,Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer; Database administrator; DevOps specialist,Agree,500 to 999 employees,Privately-held limited company  not in startup mode,9
Middle Eastern,Male,United Arab Emirates,Online course; Part-time/evening course; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Embedded applications/devices developer; Machine learning specialist; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator; Systems administrator,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Other,France,Self-taught,Computer science or software engineering,Desktop applications developer,Strongly disagree,10 000 or more employees,I prefer not to answer,7
White or of European descent,Male,Bulgaria,Online course; Industry certification; Self-taught,Computer science or software engineering,Mobile developer,Disagree,I don't know,Privately-held limited company  not in startup mode,5
White or of European descent,Male,United States,Self-taught; Open source contributions,Computer programming or Web development,Web developer; Mobile developer; Desktop applications developer; Systems administrator; DevOps specialist,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
I prefer not to say,Male,United States,Bootcamp; Self-taught; Open source contributions,Computer science or software engineering,Developer with a statistics or mathematics background; Other,Disagree,500 to 999 employees,I don't know,10
White or of European descent,Male,Canada,On-the-job training; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Disagree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,Germany,Online course; Industry certification; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Other,Strongly disagree,10 000 or more employees,Publicly-traded corporation,8
